Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2024-25,2025-01-15,29ecb1d0-70f0-4b63-bdbe-95dd496bc0a2,ipswich City Council,136,Trailer disposal,Waste Disposal,95,Section 8-1,136,Yes,No,90,Disposal of a trailer is not considered an R&D activity. It does not involve generating new knowledge or applying scientific methods.,No,No,Yes,
FY2024-25,2025-06-10,1109429f-3772-4b9c-80bb-904e9ab8b0c5,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Toll expenses are generally not considered R&D activities as they do not involve experimental activities to generate new knowledge.,No,No,Yes,Ensure adequate documentation (receipts) is retained to support the deduction.; Confirm the tolls were incurred for business purposes.
FY2025-26,2025-07-02,44c34082-5f41-4179-a619-71a7b90d2d2c,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,90,Toll payments are a routine operational expense and do not involve R&D activities.,No,No,Yes,"Ensure adequate records are kept to substantiate the business purpose of the travel.; If there is a private use component, the deduction should be apportioned."
FY2024-25,2025-06-09,fbaa2418-885a-4811-a86b-217c11418a82,Seojesus.com,313.27,Phill,Marketing,75,Section 8-1,313.27,Yes,No,60,The transaction description 'from Seojesus.com - Phill' is insufficient to determine if the activity meets the R&D criteria. It is likely related to S,No,No,Yes,Obtain invoice from Seojesus.com to confirm the nature of the services provided.
FY2024-25,2025-06-09,ca7bd6aa-ce0f-47d8-9b95-777e5e5b415b,Vercel,31.8,Ai/Apps,Software,75,Section 8-1,31.8,Yes,Yes,60,"The description 'Ai/Apps' suggests potential R&D, but lacks sufficient detail to confirm all four elements of Division 355. It's unclear if the activi",No,No,Yes,"Need to confirm the nature of 'Ai/Apps' to determine if it is a revenue or capital expense. If capital, depreciation rules apply."
FY2024-25,2025-01-09,82588247-441c-4fea-a79e-4f369ae551cb,,5382.05,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,5382.05,Yes,No,50,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,"Requires detailed invoice or receipt to determine the nature of the expense and confirm deductibility.; Without further information, the expense is assumed to be deductible under Section 8-1, but this"
FY2023-24,2023-11-14,ba9941c2-f290-4c1d-9787-78c91e377854,Hubify Communications,359.06,Office landlines ,Telecommunications,95,Section 8-1,359.06,Yes,No,90,The transaction relates to standard office landlines and service/equipment. There is no indication of any experimental activities or generation of new,No,No,Yes,Ensure invoice is retained as evidence of expense.
FY2025-26,2025-07-09,f3aec504-0175-4022-b39e-10aa63b9697a,apple,1.49,PDF Expert,Software,85,Section 8-1,1.49,Yes,No,70,Purchase of 'PDF Expert' is unlikely to be R&D. It is a commercially available software product. No evidence suggests it is being used for experimenta,No,No,Yes,Receipt required for substantiation.
FY2024-25,2024-07-26,3d35e2ab-1f10-41dc-beee-59d05bebed5f,Angle Finance,184.32,Monthly phone system rental,Telecommunications,95,Section 8-1,184.32,Yes,No,90,Monthly phone system rental is a standard business expense and does not involve R&D activities.,No,No,Yes,
FY2025-26,2025-07-17,52d0e143-7fe6-4780-9f28-ade017c538bf,Joel,440,JOB15894,Professional Services,60,Section 8-1,440,Yes,No,50,Insufficient information to determine if this transaction relates to R&D. The description 'JOB15894' is too vague.,No,No,Yes,Requires receipt or invoice to support the deduction.; Need more information about the nature of 'JOB15894' to assess potential compliance risks.
FY2025-26,2025-07-07,58dcc5dc-cea6-407a-aa3c-78ef0bb2f3fd,Bunnings,54.16,Phill,Hardware,70,Section 8-1 ITAA 1997 - general deduction,54.16,Yes,No,50,"The transaction description 'from Bunnings - Phill' does not provide any evidence of R&D activities. There is no indication of technical uncertainty, ",No,No,Yes,
FY2025-26,2025-07-22,d7f7596b-cd31-485d-92da-a485aa04b525,Commonwealth Bank Overdraft Account,5000,Return funds,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,5000,Yes,No,95,The transaction description 'Return funds' does not contain any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is no ind,No,No,Yes,
FY2025-26,2025-09-30,e9b7140a-f2e4-44c3-aaca-36f86c7ec4e1,Cline Bolt,83.51,,Hardware,70,Section 8-1,83.51,Yes,No,60,The transaction description 'from Cline Bolt' is insufficient to determine if the expense relates to R&D activities. There is no information to assess,No,No,Yes,Need receipt from Cline Bolt to verify the nature of the expense.; Confirm the expense is wholly and exclusively for business purposes.
FY2025-26,2025-07-21,9d924a62-8a08-464c-a21b-c5d4d0f22c55,Commonwealth Bank Overdraft Account,5000,Return funds,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,5000,Yes,No,95,The transaction description 'Return funds' does not contain any information to suggest that it is related to R&D activities. There is no indication of,No,No,Yes,
FY2024-25,2025-01-08,3f0d3dec-829f-4caa-9745-032654f1f379,Supabase,41.35,Phill,Software,70,Section 8-1,41.35,Yes,No,60,The transaction description 'from Supabase - Phill' is insufficient to determine if the expense relates to R&D activities. There is no information to ,No,No,Yes,Requires receipt to substantiate the expense.; Need more information to determine the nature of the service provided by Supabase and Phill.
FY2024-25,2024-12-24,a14df76d-5bda-4f23-8ea8-79b6b1899baa,Wages,1400,WE 251224,Wages,95,Section 8-1,1400,Yes,No,80,The transaction description 'Wages - WE 251224' does not provide any information to suggest that the wages relate to R&D activities. Without further i,No,No,Yes,"Requires timesheets or other documentation to support the wage expense.; If wages relate to directors, Division 7A should be considered."
FY2025-26,2025-09-18,4829a1d5-d6ba-48de-bc2f-bb36a3c8f9f9,Vercel,61.89,Ai/Apps,Software,85,Section 8-1,61.89,Yes,Yes,60,"The description 'Ai/Apps' suggests potential R&D, but there is insufficient information to confirm that the four elements of Division 355 are met. Spe",No,No,Yes,Confirm the nature of 'Ai/Apps' to determine if it is a revenue or capital expense.; Obtain invoice from Vercel.
FY2025-26,2025-07-07,bcca143a-a9a5-4c2d-8846-c4e87bb705ae,Amazon,389.95,Phill - This is for materials to remove the sign writing from the vans,Vehicle,90,Section 8-1 ITAA 1997 - general deduction,389.95,Yes,No,5,"The transaction relates to the removal of sign writing from vans. There is no indication of technical uncertainty, systematic investigation, generatio",No,No,Yes,"Deductible via cents per km (85c/km max 5,000km) or logbook method"
FY2024-25,2025-01-30,ea199812-b6e2-429e-9238-41f8baeee3cb,Ehlerth Electrical,462,"Works at Bron's house
(23/01/2025) - Work Note
- Attended site. Inspected fault on power circuit. Me",Repairs & Maintenance,95,Section 8-1,462,Yes,No,90,"The work appears to be standard electrical fault finding and repair, not systematic experimentation to generate new knowledge. It is a routine applica",No,No,Yes,Ensure invoice and work note are retained as evidence of the expense.; Confirm the expense relates to business premises and not a private residence of a related party.
FY2023-24,2024-01-16,d208c9dc-a26f-433f-b53c-1631ee09fe89,Allianz Australia Insurance Limited,3804.35,Report Fee,Repairs and Maintenance,95,Section 8-1,3804.35,Yes,No,90,"The transaction relates to disaster recovery and drying services, which are standard procedures. There is no indication of experimental activities or ",No,No,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction.; Confirm the expense relates to the business operations of Disaster Recovery Qld Pty Ltd."
FY2025-26,2025-07-24,a051dcb7-5275-4497-be0b-f4e9b63c5e8f,Semrush,188.8,Marketing and SEO,Marketing,95,Section 8-1 ITAA 1997 - general deduction,188.8,Yes,No,90,"The transaction description 'Marketing and SEO' does not contain any evidence of technical uncertainty, systematic investigation, generation of new kn",No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2025-26,2025-07-30,fa0493f7-82a8-4aac-b1ff-85930ff4064c,Sydney Tools,20,Cutting Discs - Phill,Hardware,95,Section 8-1 ITAA 1997 - general deduction,20,Yes,No,90,"The purchase of 'Cutting Discs' from 'Sydney Tools' does not indicate any R&D activity. There is no evidence of technical uncertainty, systematic inve",No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2025-26,2025-09-30,fecd0f08-321e-49c9-99f5-e02388d3b5ad,Vercel,63.54,Ai/Apps,Software,75,Section 8-1,63.54,Yes,No,60,The description 'Ai/Apps' from Vercel is too vague to determine if it meets the R&D criteria. It's unclear if this relates to genuine research and dev,No,No,Yes,Need to verify the nature of 'Ai/Apps' to confirm deductibility. Obtain detailed invoice or description from Vercel.
FY2024-25,2025-01-17,640d9679-feeb-4422-ad84-ba845c539254,AJ Grant Restorations Pty Ltd,181.5,Report Fee,Professional Services,85,Section 8-1,181.5,Yes,No,70,A 'Report Fee' alone does not provide sufficient information to determine if it meets the R&D criteria. It is unlikely to be R&D without further conte,No,No,Yes,Requires receipt from AJ Grant Restorations Pty Ltd to substantiate the expense.
FY2024-25,2024-12-24,af886157-9c84-42f5-998a-88e665fd2dd7,Wages,1286.56,WE 251224,Wages,95,Section 8-1,1286.56,Yes,No,90,Wages alone do not indicate R&D activity. More information is needed about the employee's role and activities.,No,No,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
FY2024-25,2025-06-09,7d4aa98e-d2eb-452b-96a0-8bb9b886215b,apple,1.49,icloud storage on one of the ipad,Software,95,Section 8-1,1.49,Yes,No,90,iCloud storage is a standard service and does not inherently involve R&D activities. There is no indication of experimental activities or generation o,No,No,Yes,"Ensure receipt is retained as evidence of the expense.; Determine if the iPad is used for business purposes. If there is a private use component, the deduction should be apportioned."
FY2024-25,2025-06-11,6272ba70-6bff-495e-8090-324e9677cfaf,Ascora - Ascentech Pty Ltd T/as ASC Software,307.23,May,Software,90,Section 8-1,307.23,Yes,No,60,The description 'Ascora - Ascentech Pty Ltd T/as ASC Software - May' suggests a standard software subscription or purchase. There is no indication of ,No,No,Yes,
FY2024-25,2024-12-27,b6393d39-0432-4cc5-b6b2-c908074a460d,AJ Grant Restorations Pty Ltd,181.5,Report Fee,Professional Services,85,Section 8-1,181.5,Yes,No,70,"A 'Report Fee' from a restoration company does not inherently suggest R&D activity. There is no indication of experimental activities, hypothesis test",No,No,Yes,Ensure invoice and report are retained as documentation.; Confirm the report relates to business operations.
FY2025-26,2025-07-22,50d31a85-6991-4d85-bdbb-f4c134ddb8e1,Upwork,504.62,Phill,Professional Services,85,Section 8-1,504.62,Yes,No,60,The description 'from Upwork - Phill' is too vague to determine if the activity meets the R&D criteria. There is no indication of systematic investiga,No,No,Yes,Requires detailed invoice or description of services provided by Phill via Upwork to confirm deductibility.; Ensure the expense is wholly and exclusively for the purpose of producing assessable income
FY2025-26,2025-07-11,d1cce3b0-834b-4a3b-af7d-3d84eedc0fc0,BP Australia Pty Ltd,101.43,,Travel,95,Section 8-1,101.43,Yes,No,90,Purchase of fuel is unlikely to be related to R&D activities based on the information provided.,No,No,Yes,
FY2025-26,2025-07-31,3273dbfe-95b7-42a7-9af6-b06a7134d302,Pattersons Insurebuild,2585,AFD filter,Repairs and Maintenance,85,Section 8-1,2585,Yes,No,90,"The transaction appears to relate to standard equipment maintenance and monitoring, not experimental activities aimed at generating new knowledge. Rep",No,No,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction."
FY2025-26,2025-07-07,dfdfa190-9bee-49ce-b8e2-f46ac1d1d90e,Aussie Broadband,99,INVOICE,Telecommunications,95,Section 8-1,99,Yes,No,90,Standard internet service from Aussie Broadband is unlikely to meet the R&D criteria. There is no indication of experimental activities or generation ,No,No,Yes,Requires invoice for substantiation.
FY2025-26,2025-10-15,983287eb-6628-4b70-a66d-6de56dd1b1aa,Claim Central Pty Ltd ABN 61102685343,385.77,Labour,Professional Services,90,Section 8-1,385.77,Yes,No,70,"The transaction relates to inspection and reporting, which is unlikely to meet the criteria for R&D activities. There is no indication of experimental",No,No,Yes,"Ensure adequate documentation (invoice, receipts) is retained to support the deduction."
FY2025-26,2025-10-10,ed5597c2-d6f2-4f1e-a7b9-7dff282bc4f4,Whittles,275,Biohazard Inspection fee @ $250.00,Professional Services,95,Section 8-1,275,Yes,No,90,A biohazard inspection is a standard service and does not appear to involve experimental activities or generate new knowledge. It is unlikely to meet ,No,No,Yes,Ensure invoice and payment records are retained.; Confirm the expense relates to business operations.
FY2025-26,2025-08-09,3b68604b-e85d-4be4-9c3b-6aa9d75320dc,Anthropic,149.64,Ai Phill,Software,75,Section 8-1,149.64,Yes,Yes,60,"The description 'Ai Phill' from Anthropic suggests the use of AI software. While AI development can be R&D, the transaction lacks sufficient detail to",No,No,Yes,"Need to confirm the nature of 'Ai Phill' and its business use. If it's a subscription, ensure proper allocation across financial years."
FY2025-26,2025-07-10,07a39a25-1f6e-4048-88d3-c253d3a2bfc9,Wages,7331.58,Wages WE 090725,Wages,95,Section 8-1,7331.58,Yes,No,80,The transaction description 'Wages WE 090725' provides insufficient information to determine if the wages relate to R&D activities. There is no indica,No,No,Yes,"Ensure adequate documentation (timesheets, employment contracts) exists to support the wage expense.; Verify that PAYG withholding obligations have been met."
FY2025-26,2025-07-09,97edaa94-2ac9-47cd-94e6-f13492f3f76a,Square,6.05,Square fees,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,6.05,Yes,No,95,The transaction relates to 'Square fees'. There is no indication of R&D activity based on the transaction description. It appears to be a standard fee,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2024-25,2025-06-10,06bf934e-1591-494a-8793-91301d4d99c9,Phill McGurk,20000,As advised by Phill,Professional Services,60,Section 8-1,20000,Yes,No,50,The description 'As advised by Phill' is too vague to determine if the activity meets the R&D criteria. There is no information to suggest it involves,No,YES - REVIEW,Yes,Requires detailed invoice or documentation to support the nature of the expense.; High Division 7A risk if Phill McGurk is a shareholder or associate and the payment is not at arm's length or properly
FY2024-25,2025-06-10,d983a97d-4a73-4a01-9127-338dc49d8607,Phill McGurk,20000,As advised by Phill,Professional Services,60,Section 8-1,20000,Yes,No,50,The description 'As advised by Phill' is too vague to determine if the activity meets the R&D criteria. There is no information to suggest it involves,No,YES - REVIEW,Yes,Requires detailed invoice or documentation to support the nature of the expense.; High Division 7A risk if Phill McGurk is a shareholder or associate and the payment is not at arm's length or properly
FY2024-25,2024-12-27,fd7164fa-0eef-4fe2-8d74-77e17cf8195a,,10600,Bank Transfer to Westpac Tax Account.,Tax Payment,95,Section 8-1,10600,Yes,No,95,The transaction description indicates a bank transfer to a tax account. There is no information to suggest that this payment relates to any R&D activi,No,No,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG withholding, income tax).; Ensure sufficient documentation (e.g., payment remittance advice) is retained to support the tax payment."
FY2023-24,2024-03-11,481f8fe3-f83c-45d5-9688-2bbbd5a013c7,Adobe Acrobat,34.99,Adobe,Software,95,Section 8-1,34.99,Yes,No,80,Subscription to Adobe Acrobat is unlikely to be considered R&D. It is a standard software used for document creation and editing.,No,No,Yes,
FY2025-26,2025-08-22,f6180acb-e6db-459a-aa8e-60c4ce4eace6,Pattersons Insurebuild,368.28,Travel (Over 100km round trip) @ $0.80 per km - 206 kms minus 100 = 106 kms chargeable,Travel,85,Section 8-1,368.28,Yes,No,90,The transaction relates to travel and inspection/assessment/quoting charges. There is no indication that this activity involves experimental activitie,No,No,Yes,Ensure travel is substantiated with logbooks or other records.; Confirm the inspection and assessment charges are wholly and exclusively for business purposes.
FY2025-26,2025-09-30,cc63ac9b-e767-43e6-8ae1-fb9dc47ab1e3,Superannuation,9151.04,"Jul to Sep Super
",Employee Expenses,95,Section 8-1,9151.04,Yes,No,95,Superannuation contributions are a mandatory expense and do not relate to R&D activities.,No,No,Yes,Ensure superannuation contributions are made on time to avoid penalties.; Verify that the superannuation fund is a complying fund.
FY2025-26,2025-08-06,070cd4f4-6719-4898-9389-2ff7b8e973d0,Pattersons Insurebuild,907.5,Airscrubber/s @ $100ea/day - 1 x AFD - 29.07 and 30.07.25,Professional Services,90,Section 8-1,907.5,Yes,No,80,"The transaction relates to disaster recovery and makesafe activities, which are unlikely to meet the criteria for R&D. The activities appear to be sta",No,No,Yes,"Ensure proper documentation (receipts, invoices) is retained to support the deduction.; Review for any potential capital works implications."
FY2024-25,2024-09-19,8655a78f-f39a-4f3d-a200-89e01a271d30,,20000,Bank Transfer to Westpac Everyday Banking.,Financial Transaction,95,Section 8-1,0,No,No,90,Insufficient information to determine if this transaction relates to R&D activities. The description 'Bank Transfer to Westpac Everyday Banking' provi,No,No,Yes,Need to determine the underlying purpose of the bank transfer to assess deductibility and potential compliance issues.; Requires receipt or invoice to determine the nature of the expense.
FY2025-26,2025-07-25,b0c24ecb-d389-46b4-a0b1-636500e4b597,Angle Finance,184.32,Monthly phone system rental,Telecommunications,95,Section 8-1 ITAA 1997 - general deduction,184.32,Yes,No,95,The transaction is for 'Monthly phone system rental'. This is a standard business expense and does not involve any R&D activities as defined under Div,No,No,Yes,Deductible under s 8-1 ITAA 1997 as it is an expense incurred in gaining or producing assessable income. Requires receipt from Angle Finance as documentation.
FY2024-25,2024-11-22,d33f481f-4818-4e71-91e6-e8b95d5faf53,Claim Central Pty Ltd ABN 61102685343,83.64,Admin Fee,Professional Services,85,Section 8-1,83.64,Yes,No,95,"The transaction relates to admin fees, service/discount fees, and report fees from Claim Central Pty Ltd. There is no indication that this relates to ",No,No,Yes,Ensure invoice and supporting documentation are retained to substantiate the expense.
FY2024-25,2024-09-20,347b29ea-dee5-4bb3-ac2b-8018223a36d9,Adobe Acrobat,28.99,Subscription plan Acrobat Pro DC,Software,95,Section 8-1,28.99,Yes,No,80,Subscription to Adobe Acrobat Pro DC is a standard software purchase and does not inherently involve R&D activities. There is no indication that the s,No,No,Yes,Ensure invoice/receipt is retained as evidence of the expense.
FY2024-25,2024-09-23,5f1d6552-4cfe-4b18-a08f-44604bd49cb8,Vector Wave Tech,3330.86,Disaster Recovery Qld Website Builder Application  Yearly subscription,Software,95,Section 8-1,3330.86,Yes,No,85,Subscription to a website builder application is unlikely to meet the R&D criteria. It appears to be a standard commercial product.,No,No,Yes,Confirm the website builder application is used wholly for business purposes.
FY2024-25,2025-01-24,5a18827b-e5ce-4f20-8db9-22913dd7c401,,10600,Bank Transfer from Westpac Tax Account.,Unknown,50,Section 8-1,0,No,No,50,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Tax Account' provides no details about the nature o,No,No,Yes,Need supplier invoice/receipt to determine the nature of the expense and its deductibility.; Determine if the expense is capital or revenue in nature.
FY2025-26,2025-10-15,5e86ae9c-866d-4a4b-b2b1-35089289e31d,Time Out Computers Australia PTY LTD,641.36,November Services,Professional Services,75,Section 8-1,641.36,Yes,No,60,The description 'November Services' is too vague to determine if the activity meets the R&D criteria. There is no indication of experimental activitie,No,No,Yes,Obtain detailed invoice to understand the nature of 'November Services' and ensure it is wholly for business purposes.
FY2025-26,2025-09-30,47f77c47-5574-40f1-b603-0b765d7942cc,Carpet Cleaners Warehouse,618.72,"CASTER WITH BRAKE-EACH(SV3831)

 GENUINE AMETEK VACUUMMOTOR
 5.7INCH 2 STAGE 1200 WATT- EACH
 (AV010",Repairs and Maintenance,85,Section 8-1,618.72,Yes,No,75,"The transaction appears to relate to the repair or maintenance of equipment (vacuum motor, caster with brake) and associated labour. There is no indic",No,No,Yes,Ensure invoice and proof of payment are retained.; Confirm the expense relates to business use and not private use.
FY2024-25,2024-07-26,56f1239b-526c-40e8-8f0d-eb18af039dd1,Excel Laundry,13,Washing blankets from Ipswich Turf Club job,Cleaning,95,Section 8-1,13,Yes,No,90,Washing blankets is a routine cleaning activity and does not meet the criteria for R&D. There is no indication of experimental activity or generation ,No,No,Yes,
FY2024-25,2025-01-10,48ac4f7c-6953-436d-8d3e-7006f32fe904,Intuit,32.5,Phill - Intuit quickbooks?,Software,85,Section 8-1,32.5,Yes,No,70,"The transaction relates to Intuit QuickBooks, a standard accounting software. There is no indication of R&D activity based on the provided information",No,No,Yes,Requires receipt for substantiation.
FY2024-25,2025-06-10,17ad289f-7b7c-4779-970e-2c3acd5caf1f,Phill McGurk,13000,As advised by Phill,Professional Services,60,Section 8-1,13000,Yes,No,60,The description 'As advised by Phill' is too vague to determine if the activity meets the R&D criteria. There is no indication of systematic investiga,No,YES - REVIEW,Yes,Requires detailed invoice or documentation to support the nature of the expense.; Potential Division 7A risk if Phill McGurk is a shareholder or associate and the payment is not at arm's length.
FY2024-25,2025-06-12,b061bfc4-e4ce-4325-b83a-37f32d86ed9f,Xero Australia,200,Monthly Fee,Software,95,Section 8-1,200,Yes,No,90,"The transaction is for a monthly fee for Xero Australia, which is a standard accounting software. There is no indication that this relates to any R&D ",No,No,Yes,Keep invoice as proof of purchase.
FY2024-25,2025-06-10,e677e30f-0c62-44bf-a764-606ca343d7ae,,1000,Bank Transfer to American Express .,Unknown,50,Section 8-1,0,No,No,50,Insufficient information to determine R&D eligibility. The transaction description 'Bank Transfer to American Express' provides no details about the n,No,No,Yes,Need to determine the nature of the expense charged to the American Express card to assess deductibility and compliance requirements.
FY2025-26,2025-07-11,b4e91c0e-eeed-4f27-b62d-ba5d1650f3db,Ascora - Ascentech Pty Ltd T/as ASC Software,283.03,June,Software,90,Section 8-1 ITAA 1997 - general deduction,283.03,Yes,No,60,The transaction description 'from Ascora - Ascentech Pty Ltd T/as ASC Software - June' and 'June' suggests a regular software subscription or licensin,No,No,Yes,
FY2025-26,2025-08-07,9657d231-4145-4320-8dbf-277a1059a39d,The Mould Group,14850,Remediation Cleaning and AFD hire,Remediation,95,Section 8-1,14850,Yes,No,90,"The transaction relates to remediation cleaning and additional works, which are unlikely to meet the criteria for R&D activities. There is no indicati",No,No,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction."
FY2024-25,2025-06-06,3e733d43-db1f-4f48-92e6-22b3f8fded4f,,5775.27,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,0,No,No,50,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,Requires invoice or receipt to determine the nature of the expense and its deductibility.; Need to determine the supplier and the purpose of the bank transfer.
FY2023-24,2024-03-06,94a88c2d-7089-4063-a7da-728ca2bfca0c,Aussie Broadband,99,INVOICE,Telecommunications,95,Section 8-1,99,Yes,No,90,Standard internet service from Aussie Broadband. No indication of R&D activity.,No,No,Yes,
FY2024-25,2025-06-06,9c882605-ef3b-44b6-a234-6a2afa8d8c47,Linkt,5.83,,Travel,95,Section 8-1,5.83,Yes,No,95,Toll charges are unlikely to be related to R&D activities. There is no indication that the toll charge relates to any R&D activity.,No,No,Yes,Ensure travel is for business purposes.; Receipt from Linkt should be retained.
FY2025-26,2025-08-06,f8f4fe27-8373-4f15-a51b-dfa993a7bd93,Crawford & Co,212.4,"MRP Fee & 5.78% 1864304

",Professional Services,75,Section 8-1,212.4,Yes,No,60,The description 'MRP Fee & 5.78% 1864304' does not provide sufficient information to determine if the activity meets the R&D criteria. It is unclear i,No,No,Yes,Requires receipt from Crawford & Co to substantiate the expense.; Need to understand what 'MRP Fee' relates to.
FY2025-26,2025-08-11,9d38d4e9-1206-4ae7-923b-1820aa5edd00,Sprake Family Trust,1782,Bobcat and Excavator Hire @ Booval - where containers are stored,Equipment Hire,95,Section 8-1,1782,Yes,No,90,The transaction relates to the hire of a bobcat and excavator for storage of containers. There is no indication of R&D activity. It appears to be a st,No,YES - REVIEW,Yes,Verify that the Sprake Family Trust is not related to the business owners to mitigate Division 7A risk.; Ensure proper documentation (invoice) is retained.
FY2025-26,2025-08-01,c748b620-4e68-4fd6-8951-99c72ac71da6,United Rentals,164.36,"Container - 1.07 to 31.07

JOB15112
Marion Watson - 64 Golf Links Drive, Gatton
Job Name: Crawco - W",Rental,95,Section 8-1,164.36,Yes,No,90,Rental of a container is unlikely to be related to R&D activities. There is no indication of any experimental activities or generation of new knowledg,No,No,Yes,Ensure invoice and rental agreement are retained as evidence of the expense.; Confirm the container rental is directly related to business operations.
FY2024-25,2025-01-24,a9c327d3-f4d3-4677-bd10-c4aa1145023f,,10600,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,0,No,No,60,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,Need supplier invoice or receipt to determine the nature of the expense and its deductibility.; Entertainment expenses require scrutiny.
FY2024-25,2024-09-12,cb672840-9f05-4905-8b75-fc5795c8c93d,Wages,8032,Wages WE 110924,Wages,95,Section 8-1,8032,Yes,No,60,Insufficient information to determine if wages relate to R&D activities. The description 'Wages WE 110924' provides no indication of R&D involvement.,No,No,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable and at market rates.
FY2025-26,2025-07-21,36e669c5-1973-42ee-8cd5-42717c61f2a4,Telstra,30,Dongle monthly plan ,Telecommunications,95,Section 8-1 ITAA 1997 - general deduction,30,Yes,No,90,"The transaction relates to a standard 'Dongle monthly plan' from Telstra. There is no indication of technical uncertainty, systematic investigation, g",No,No,Yes,"Ensure the dongle is used primarily for business purposes. If there is a private use component, only the business portion is deductible under s 8-1 ITAA 1997."
FY2023-24,2023-07-13,5996e262-bda1-4d0d-a6da-3802f1eeb30b,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,90,Tolls are unlikely to be related to R&D activities. The description does not suggest any R&D component.,No,No,Yes,Ensure adequate documentation (receipt) is retained to support the deduction.; Confirm the tolls were incurred for business purposes.
FY2024-25,2025-06-19,31669eac-d810-481d-bb3c-771b429be56f,Railway,520.68,Software - advised by Phill,Software,95,Section 8-1,520.68,Yes,No,60,The description 'Software - advised by Phill' is insufficient to determine if the activity meets the R&D criteria. There is no information to suggest ,No,No,Yes,Requires receipt from Railway.; Confirm software is used for income-producing purposes.
FY2025-26,2025-09-28,c25a32b2-f331-4ac8-8cde-a0988acdfd71,Ampol Australia Pty Ltd,32.45,Fuel Account,Fuel,95,Section 8-1,32.45,Yes,No,90,Fuel expenses are a routine operational cost and do not inherently involve R&D activities. There is no indication of experimental activities or genera,No,No,Yes,
FY2024-25,2025-01-16,9a0ae1b6-2ca2-4681-a851-a1fb6cdddaea,,10500,Bank Transfer from Westpac Tax Account.,Unknown,50,Section 8-1,0,No,No,60,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Tax Account' provides no details about the nature o,No,No,Yes,Requires invoice or receipt to determine the nature of the expense and its deductibility.; Need to determine the supplier to assess potential related party transactions.
FY2025-26,2025-10-14,e9a4eccb-561c-4b72-ab92-47a4a853679f,Telstra Corporation Limited,33.41,1300 Number,Telecommunications,95,Section 8-1,33.41,Yes,No,90,"The transaction relates to a 1300 number from Telstra, which is a standard telecommunications service. There is no indication that this relates to any",No,No,Yes,
FY2025-26,2025-10-15,2790f4a5-1164-4a10-b2e0-fb2e09bfcff7,Hubify Communications,335.5,Office landlines ,Telecommunications,95,Section 8-1,335.5,Yes,No,90,"The transaction relates to standard office landlines, which does not suggest any R&D activity. It is a routine operational expense.",No,No,Yes,Ensure invoice is retained as evidence of expense.
FY2025-26,2025-07-23,16b2b2dc-d631-4b6e-97f9-d2af6a1165dd,Allianz Australia Insurance Limited,14478.2,Airmover @ $36ea/day - 11 x AM - 4 days,Cleaning & Restoration,95,Section 8-1,14478.2,Yes,No,90,The transaction appears to be for standard cleaning and restoration services following a disaster. There is no indication of experimental activities o,No,No,Yes,"Ensure proper documentation (receipts, invoices) is maintained to support the deduction.; Review the 'SOW - Unit 1 and 2' to ensure no capital works are included."
