PRIORITY,Financial Year,Date,Supplier,Amount,Claimable,Deduction Type,Category,Confidence,Transaction ID,Documentation Required,Notes
114,FY2025-26,2025-10-05,Pattersons Insurebuild,2420,2420,Section 8-1,Equipment Rental,95,39d60501-7ba1-4eed-bdb1-8843de985cb1,Yes,Ensure invoice and rental agreement are retained as evidence of the expense.; Confirm the expense is wholly and exclusively for business purposes.
115,FY2025-26,2025-11-10,Pattersons Insurebuild,2310,2310,Section 8-1,Equipment Rental,95,fb22b339-6dc0-4a10-bbdf-1e94926c3a63,Yes,
116,FY2023-24,2023-11-10,FEN Australia Pty Ltd,2138.62,2138.62,Section 8-1,Remediation,90,3ea5b590-164a-47c1-9093-cb1e27f6ef0d,Yes,"Ensure proper documentation (receipts, invoices, contracts) is maintained to support the deduction.; Review allocation of expenses to ensure they dire"
117,FY2024-25,2024-07-24,Disaster Recovery,2100,2100,Section 8-1,Tax,95,83c455bf-a64d-426e-a083-62a6fe4d4e28,Yes,Ensure payment relates to business tax obligations.; Receipt from Disaster Recovery is required as evidence of payment.
118,FY2024-25,2024-12-24,Disaster Recovery,2100,2100,Section 8-1,Tax,90,686f9919-875a-4748-82f1-5206e131c45e,Yes,Requires documentation to support the tax instalment payment.; Ensure the payment relates to the business operations of Disaster Recovery Qld Pty Ltd.
119,FY2024-25,2025-03-27,Disaster Recovery,2091.76,2091.76,Section 8-1,Professional Services,85,75b01884-c8ec-49b1-8f50-8d2ffbdb87d3,Yes,Ensure invoice and contract details are retained to support the deduction.; Confirm the expense is wholly and exclusively for business purposes.
120,FY2024-25,2024-07-29,Disaster Recovery,2091.76,2091.76,Section 8-1,Professional Services,85,4d459af7-a359-4e7b-820d-b8371d6aa6af,Yes,Ensure invoice and contract support the management fee.; Confirm the expense is wholly and exclusively for the purpose of producing assessable income.
121,FY2024-25,2024-07-23,,2000,2000,Section 8-1,Financial,70,8b150bdf-928c-48a3-8c08-db38ccfec8c5,Yes,Requires credit card statements to determine the nature of the underlying expenses charged to the credit card. The deductibility of the expenses depen
122,FY2023-24,2023-10-04,FEN Australia Pty Ltd,1961.96,1961.96,Section 8-1,Repairs and Maintenance,90,072d5b5d-1f00-4d10-af6c-bfaf201ece8a,Yes,"Ensure proper documentation (receipts, invoices) is maintained to support the deduction.; Confirm that the expenses are wholly and exclusively for bus"
123,FY2025-26,2025-11-26,Goodyear AutoCare Sumner Park,1903.35,1903.35,Section 8-1,Repairs & Maintenance,85,74ea027d-d21a-46cd-8091-b41b4445d8a6,Yes,Ensure invoice and payment records are retained.; Deductibility depends on the extent to which the vehicle is used for business purposes. Private use 
124,FY2025-26,2025-12-03,Wages,1890.31,1890.31,Section 8-1,Wages,85,3effd8fc-38d6-432a-800c-cddcbe5b6432,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
125,FY2025-26,2025-11-19,Wages,1853.46,1853.46,Section 8-1,Wages,90,a0dc9091-6ceb-4fc0-b9ac-a674387bb608,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
126,FY2025-26,2025-12-10,Wages,1853.46,1853.46,Section 8-1,Wages,90,d19e861d-d618-49ad-b68c-9e857218d3f8,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable and properly authorised.
127,FY2025-26,2025-11-26,Wages,1853.46,1853.46,Section 8-1,Wages,85,a0b1b20e-9dd6-4994-8ddb-618249b41db6,Yes,Requires timesheets or other documentation to support the wage expense.; Need to confirm the nature of work performed to ensure deductibility.
128,FY2023-24,2023-12-29,Manatech Property Services,1815,1815,Section 8-1,Professional Services,85,5ede35d9-b07d-4bd9-bc81-07291b85e03f,Yes,
129,FY2025-26,2025-08-11,Sprake Family Trust,1782,1782,Section 8-1,Equipment Hire,90,9d38d4e9-1206-4ae7-923b-1820aa5edd00,Yes,Verify that the Sprake Family Trust is not related to the business owners to mitigate Division 7A risk.; Ensure proper documentation (invoice) is reta
130,FY2023-24,2023-11-30,Enviro Force,1683,1683,Section 8-1,Professional Services,80,b8d86590-dba0-4a6b-a568-c0384de9c961,Yes,Obtain invoice from Enviro Force to confirm the nature of services provided.
131,FY2023-24,2023-10-23,Construct Services,1633.94,1633.94,Section 8-1,Cleaning Services,95,fe3ad2d5-681b-4c01-bd04-fe4651dd6d3f,Yes,"Ensure adequate documentation (receipts, invoices, logbooks for travel) is retained to support the deduction.; Review travel records to ensure complia"
132,FY2022-23,2023-06-23,Effective Organics,1614.8,1614.8,Section 8-1 ITAA 1997 - general deduction,Construction,95,e38a68c9-f8a4-49d2-a67d-ccda0b38219f,Yes,
133,FY2024-25,2024-08-19,O'Brien AutoGlass,1593.2,1593.2,Section 8-1,Refund,95,ea236521-4c9a-4e5f-801d-1f9eba86c90b,Yes,"Ensure the original purchase was deductible. If the original purchase was capital, this refund may reduce the cost base of the asset."
134,FY2024-25,2024-08-06,O'Brien AutoGlass,1562.52,1562.52,Section 8-1,Repairs & Maintenance,95,984171aa-acc5-47dc-8520-e544ec66d50d,Yes,
135,FY2023-24,2023-12-03,Fast Labour Hire Brisbane Pty Ltd,1496.07,1496.07,Section 8-1,Labour Hire,90,dbf5deae-0649-4db5-bf39-705045de9f69,Yes,
136,FY2024-25,2024-11-12,Claim Central Pty Ltd ABN 61102685343,1405.8,1405.8,Section 8-1,Repairs and Maintenance,90,78c3e757-f39f-40ef-90f4-b4c3ab522a73,Yes,"Ensure proper documentation (receipts, invoices) is maintained to support the deduction.; Confirm that the expenses are wholly and exclusively for bus"
137,FY2024-25,2024-12-24,Wages,1400,1400,Section 8-1,Wages,90,a14df76d-5bda-4f23-8ea8-79b6b1899baa,Yes,"Requires timesheets or other documentation to support the wage expense.; If wages relate to directors, Division 7A should be considered."
138,FY2024-25,2025-01-29,CM3,1391.5,1391.5,Section 8-1,Software,95,39618b92-a4ab-4d90-903f-81750f9a6a4b,Yes,Requires receipt for substantiation.
139,FY2023-24,2023-07-03,Tartan Group,1384.12,1384.12,Section 8-1,Storage,95,1edbeeaa-a06c-4bc3-9c02-a60ff0746afe,Yes,
140,FY2023-24,2023-08-01,Tartan Group,1384.12,1384.12,Section 8-1,Storage,90,57438dc6-b0d9-478b-802f-d3a57066a88a,Yes,Ensure storage is directly related to business operations and not for personal use.; Verify invoice and payment records.
141,FY2024-25,2025-01-23,Wages,1368.81,1368.81,Section 8-1,Wages,85,adf7751d-3398-4581-9cc7-c957010acbbe,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure PAYG withholding obligations are met.
142,FY2025-26,2025-11-04,Carpet Cleaners Warehouse,1344.42,1344.42,Section 8-1,Repairs & Maintenance,90,5fd0ee03-b5fb-4757-a428-180852913133,Yes,
143,FY2023-24,2023-09-01,Tartan Group,1339.47,1339.47,Section 8-1,Storage,95,f8fa8a03-4525-4fb7-893e-d9f2e8cbde05,Yes,Ensure proper documentation (invoice) is retained to support the deduction.
144,FY2023-24,2023-10-19,AJ Grant Restorations Pty Ltd,1320,1320,Section 8-1,Repairs & Maintenance,95,deffad0f-915e-4457-b9fa-eca9d1013bab,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction."
145,FY2023-24,2023-11-10,Carpet Cleaners Warehouse,1318.63,1318.63,Section 8-1,Repairs and Maintenance,95,d682ef22-ed62-4f2b-89a8-3aaf6eef68df,Yes,Ensure invoice and proof of payment are retained.; Confirm the repair relates to income-producing activities.
146,FY2024-25,2024-12-24,Wages,1286.56,1286.56,Section 8-1,Wages,95,af886157-9c84-42f5-998a-88e665fd2dd7,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
147,FY2022-23,2023-05-14,AirBNB,1265,1265,Section 8-1,Travel,85,adf79981-2664-41f3-b366-386a1d38b53b,Yes,"Ensure travel is wholly and exclusively for business purposes.; Maintain adequate documentation (receipts, travel itinerary, purpose of travel)."
148,FY2025-26,2025-08-18,Vimeo,1254,1254,Section 8-1,Software,95,a712beba-3a65-444e-b212-c16b540b4422,Yes,Ensure invoice is retained as evidence of expense.; Confirm the expense is wholly and exclusively for business purposes.
149,FY2024-25,2024-08-16,Vimeo,1254,1254,Section 8-1,Software,95,5a35b9c1-2359-4e3e-a512-97bcbc99e966,Yes,Ensure invoice is retained as evidence of the expense.; Confirm the subscription is wholly for business purposes.
150,FY2023-24,2023-09-14,Tiger Containers,1232,1232,Section 8-1,Construction,80,589216ac-42cd-45dc-9c9d-d20f6ab09ab3,Yes,
151,FY2024-25,2025-01-23,Kmart,1230.85,1230.85,Section 8-1,Employee Benefits,60,91edd18f-6855-4a4c-883d-b9429a388935,Yes,"Need to determine the purpose of the gift card. If provided to employees, FBT may apply. If provided to clients, entertainment limitations may apply t"
152,FY2025-26,2025-10-29,Wages,1214.98,1214.98,Section 8-1,Wages,90,17ac2cac-9659-4331-bc6d-2360554b181b,Yes,"Requires standard payroll documentation (timesheets, employment contracts) to support the deduction.; Further investigation is needed to determine if "
153,FY2024-25,2024-07-24,BNP Media,1177.58,1177.58,Section 8-1,Professional Services,70,790221e5-446e-4f3e-b248-96654d770db6,Yes,Need to verify the nature of services provided by BNP Media to confirm deductibility.; Obtain detailed invoice from BNP Media.
154,FY2024-25,2025-01-30,Wages,1145.78,1145.78,Section 8-1,Wages,90,cf0dd6c8-f84e-41b0-9b49-3edf94ea0d25,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure PAYG withholding obligations are met.
155,FY2025-26,2025-10-31,BP Australia Pty Ltd,1129.66,1129.66,Section 8-1,Fuel,85,3a577e06-16df-4702-9f68-38f95b7c2eaa,Yes,Ensure adequate records are kept to substantiate business use of vehicles. Review account code 65010 to ensure appropriate allocation.
156,FY2024-25,2024-07-02,BBM Contracts,1127.5,1127.5,Section 8-1,Professional Services,95,eba6c768-8ee6-47f7-8843-df3c97f6e882,Yes,Ensure invoice and sampling report are retained as documentation.; Confirm that the expense relates to income-producing activities.
157,FY2023-24,2023-12-07,Raine & Horne,1100,1100,Section 8-1,Cleaning,90,499a9588-742e-4bf7-a78c-ee616c86a76b,Yes,
158,FY2023-24,2023-11-10,Climate Rental Solutions Pty Ltd,1056,1056,Section 8-1,Supplies,90,8cacf77e-77b7-4862-9727-01ef97251c6d,Yes,
159,FY2024-25,2024-12-24,Wages,1055.07,1055.07,Section 8-1,Wages,95,a9333118-bd3c-4c8d-b626-c7c3d8e54c4f,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
160,FY2024-25,2025-05-21,Indoor Air Quality Association,1015,1015,Section 8-1,Travel,85,031e8646-70f4-4d15-aade-04ebc02b87ad,Yes,"Ensure adequate documentation (receipt, conference program) is retained.; Scrutinize for any entertainment components (meals, social events) which may"
161,FY2025-26,2025-09-29,Containers Storage,1000,1000,Section 8-1,Storage,80,f2a47f9a-6ec2-47ab-8ecb-3662308d2591,Yes,Ensure invoice/receipt is retained as evidence of the expense.; Confirm the storage is wholly and exclusively for business purposes.
162,FY2024-25,2025-06-11,Withdrawl ATM,1000,1000,Section 8-1,Rent,95,814ce738-92ca-4d74-93f7-d8fe752c5102,Yes,"Ensure proper documentation (lease agreement, receipts) is maintained to support the rental expense.; Verify the storage container is used wholly and "
163,FY2025-26,2025-07-31,BP Australia Pty Ltd,999.37,999.37,Section 8-1,Fuel,85,b1f93f47-3a4e-46e7-a974-6ac6178c52cb,Yes,Ensure adequate records (receipts) are maintained to substantiate the fuel expenses.; Review business use percentage for each vehicle to determine ded
164,FY2023-24,2023-09-28,Construct Services,998.25,998.25,Section 8-1,Cleaning & Remediation,95,8bd36172-d61b-4e86-8f43-e0f66a6021e9,Yes,
165,FY2023-24,2023-10-31,DWF Law Australia,984.5,984.5,Section 8-1,Professional Services,90,52ef46f5-fc75-4bc3-a13e-991ce754b980,Yes,Ensure invoice and supporting documentation are retained.; Review the nature of the incident to determine if any specific deductibility limitations ap
166,FY2024-25,2025-03-13,Bunnings,975.15,975.15,Section 8-1,Hardware,70,bd3efb20-3878-4837-a0d7-9e6523514765,Yes,Requires receipt from Bunnings to verify the nature of the purchase.; Determine if any portion of the purchase was for private use and adjust the clai
167,FY2024-25,2024-08-29,St George - Loan Ford Ranger 645BS6,970.72,970.72,Section 8-1,Finance,85,7c4b47fb-6db4-47e4-aded-f8ca735566f3,Yes,Maintain loan documentation.; Determine the business use percentage of the Ford Ranger to calculate the deductible portion of the loan repayment. The 
168,FY2024-25,2025-05-28,Daniel Walters,962.5,962.5,Section 8-1,Professional Services,90,29cff1d9-d7a6-4644-83d1-aab89f06647b,Yes,Ensure invoice and payment records are retained.; Confirm the expense is wholly and exclusively for business purposes.
169,FY2024-25,2024-08-20,MTA Travel,953.02,953.02,Section 8-1,Travel,95,583e5135-adb7-483d-b83e-d2f6f73fa938,Yes,Ensure travel is wholly and exclusively for business purposes.
170,FY2023-24,2023-09-08,Claim Central Pty Ltd ABN 61102685343,950.52,950.52,Section 8-1,Repairs and Maintenance,90,13cc64c1-c229-472b-89a0-ffef3fc49e2c,Yes,"Ensure proper documentation (receipts, invoices) is retained to support the deduction.; Review the 'Makesafe' component to ensure it doesn't contain a"
171,FY2025-26,2025-10-19,Department of Transport,945.9,945.9,Section 8-1,Motor Vehicle Expenses,85,1f6e8db6-75a9-412d-ad1b-24edd55959d4,Yes,Ensure vehicle is used for business purposes. Private use may limit deductibility. Maintain logbook if applicable.
172,FY2025-26,2025-07-21,Claim Central Pty Ltd ABN 61102685343,944.63,944.63,Section 8-1,Cleaning & Remediation,90,6f7c6bf0-6e63-4c8c-906c-54e5f75df3ef,Yes,
173,FY2024-25,2024-08-15,Wages,940.76,940.76,Section 8-1,Wages,90,8ffa9608-bc56-465b-8ef0-19a9e701b2d5,Yes,"Requires standard payroll documentation (timesheets, employment contracts) to support the wage expense.; Ensure proper PAYG withholding and superannua"
174,FY2023-24,2023-11-10,Carpet Cleaners Warehouse,930.05,930.05,Section 8-1,Repairs & Maintenance,90,c5d0f306-fe58-4b8d-bf08-66acfd14b074,Yes,
175,FY2022-23,2023-01-03,Amazon,917.18,917.18,Section 8-1,Uniforms,90,af440ef9-bc74-4f1c-a95d-68aa02fc1cc7,Yes,Ensure the uniforms are genuinely for work purposes and display the company logo to support deductibility.; Maintain receipts from Amazon as evidence 
176,FY2025-26,2025-08-06,Pattersons Insurebuild,907.5,907.5,Section 8-1,Professional Services,90,070cd4f4-6719-4898-9389-2ff7b8e973d0,Yes,"Ensure proper documentation (receipts, invoices) is retained to support the deduction.; Review for any potential capital works implications."
177,FY2025-26,2025-10-29,Department of Transport,886.7,886.7,Section 8-1,Motor Vehicle Expenses,85,56f5a911-2596-492b-b761-a75e5820ff0b,Yes,Ensure vehicle is used for business purposes. Private use may limit deductibility.
178,FY2024-25,2024-07-15,AJ Grant Restorations Pty Ltd,880,880,Section 8-1,Asset Disposal,95,11e0039d-1da3-4665-9b03-778bf36fa2e1,Yes,"Ensure proper documentation (receipts, disposal records) is maintained.; Consider any capital gains tax implications from the disposal of vehicles."
179,FY2024-25,2025-02-25,Anthropic,875.94,875.94,Section 8-1,Software,85,8814ee15-118e-488f-b449-0b3e0434888c,Yes,Need to verify the nature of 'Ai Phill' to confirm deductibility. Ensure invoice is retained.
180,FY2024-25,2025-05-30,Anthropic,867.09,867.09,Section 8-1,Software,80,16d80efd-858b-4583-9c0c-7c0fc940b5f0,Yes,"Need detailed invoice to confirm nature of service. If related to software development, assess for software development pool. If related to AI consult"
181,FY2023-24,2024-05-14,Telstra Corporation Limited,865.09,865.09,Section 8-1,Communication,95,40b5546c-49bf-4e38-831c-43d36bc861f0,Yes,
182,FY2023-24,2023-10-04,FEN Australia Pty Ltd,861.85,861.85,Section 8-1,Repairs and Maintenance,85,64b9f679-0346-457a-b7c2-483bdd36ef5e,Yes,
183,FY2024-25,2024-07-12,Telstra Corporation Limited,855.09,855.09,Section 8-1,Telecommunications,95,66e4249e-67b9-47a1-b426-e1527dca4749,Yes,
184,FY2025-26,2025-11-05,Crawford & Co,836.84,836.84,Section 8-1,Professional Services,80,4ebe56de-2413-4053-8d56-9bb7b513dfd0,Yes,Need to verify the nature of services provided by Crawford & Co to confirm deductibility. Obtain invoice details.
185,FY2024-25,2025-05-06,FEN Australia Pty Ltd,836,836,Section 8-1,Equipment Rental,90,a722db25-781d-4e51-bd63-18b987b33bd8,Yes,Ensure invoice and proof of payment are retained.; Confirm that the expense is wholly and exclusively for business purposes.
186,FY2025-26,2025-09-15,Zapier,799.99,799.99,Section 8-1,Software,85,e4b72fb2-840f-457b-91a5-9abdecf5376e,Yes,Requires invoice from Zapier to support the deduction.; Confirm the expense is wholly and exclusively for business purposes.
187,FY2023-24,2023-07-04,FEN Australia Pty Ltd,796.29,796.29,Section 8-1,Professional Services,85,4b369cce-d979-4aef-9722-e5c1fb09d2e3,Yes,"Ensure adequate documentation (receipts, invoices) is retained to support the deduction.; Confirm the 'Assessment of pool table' is genuinely for busi"
188,FY2024-25,2024-12-09,Goodyear AutoCare Sumner Park,783.45,783.45,Section 8-1,Vehicle Maintenance,85,083db9e3-76f0-4b99-bc24-d6cb23c9b275,Yes,
189,FY2022-23,2023-02-24,Y.P,780,780,Section 8-1,Uncategorized,60,a637034a-cb53-486a-8fc8-e776ad425716,Yes,"Requires detailed invoice or description to determine deductibility and GST treatment.; Verify if Y.P. is an employee, contractor, or related party."
190,FY2023-24,2024-01-19,Telstra Corporation Limited,754.24,754.24,Section 8-1,Telecommunications,90,59b963f6-4f10-4c95-8f8d-6fc91ca85ea0,Yes,"Ensure the telephone service is primarily for business use. If there is a significant private use component, the deductible amount should be reduced a"
191,FY2024-25,2025-01-30,Perpetual Corporate Trust,751.04,751.04,Section 8-1,Loan,85,f13629c1-d877-4867-84a2-48efc536fe58,Yes,Ensure loan agreement is documented and on commercial terms to avoid potential issues.; Verify the use of the loan proceeds to confirm deductibility.
192,FY2024-25,2024-07-29,Azora Asset Finace,750,750,Section 8-1,Finance,90,b4056f98-2c67-4af1-9bea-09bbdeaef4c4,Yes,Ensure loan is used for business purposes to support deductibility.; Keep loan agreement and payment records.
193,FY2025-26,2025-11-30,BP Australia Pty Ltd,741.08,741.08,Section 8-1,Fuel,80,57784036-5095-4992-8ab5-b8abbdb6424b,Yes,Ensure adequate records are kept to substantiate business use of vehicles. Private use may need to be apportioned.
194,FY2024-25,2025-01-17,Lockyer Bins,735,735,Section 8-1,Waste Disposal,95,5bd8184b-66d8-4c80-adaa-5c341b4d29e8,Yes,
195,FY2023-24,2023-07-25,Allianz Australia Insurance Limited,729.1,729.1,Section 8-1,Insurance,90,ce43a1ad-8adc-4afe-a419-4988ac630c31,Yes,Ensure the storage relates to business operations and not personal use.
196,FY2023-24,2023-11-30,Viva Energy,728.71,728.71,Section 8-1,Fuel,85,179d8ace-3f0f-44b2-9f1a-4eb5fa5e58d1,Yes,Ensure adequate records are kept to substantiate business use of fuel.; Consider private use apportionment if applicable.
197,FY2023-24,2023-09-28,AJ Grant Restorations Pty Ltd,723.25,723.25,Section 8-1,Repairs and Maintenance,95,7761ddde-1238-40d5-9376-cf19d953d5e1,Yes,
198,FY2023-24,2023-11-04,Telstra Corporation Limited,718.53,718.53,Section 8-1,Telecommunications,85,f8437f67-3ead-4671-bae5-230d2d8766d2,Yes,Ensure appropriate apportionment if there is any private use of the mobile phones and data plans. Maintain records to support business use.
199,FY2023-24,2023-08-04,FEN Australia Pty Ltd,711.7,711.7,Section 8-1,Storage,95,da777564-497d-4933-9e44-e5145c575349,Yes,
200,FY2023-24,2023-10-18,AJ Grant Restorations Pty Ltd,693,693,Section 8-1,Professional Services,90,ddb63015-e689-461d-a77e-682ea08713a6,Yes,Ensure invoice and SOW are retained as evidence of the expense.
201,FY2023-24,2023-11-13,AJ Grant Restorations Pty Ltd,683.54,683.54,Section 8-1,Professional Services,85,a011af55-9030-4e57-8fe7-b27c37ca12cf,Yes,Ensure adequate documentation for travel expenses (logbook or other evidence).; Living away from home allowance may have FBT implications. Review empl
202,FY2024-25,2024-07-29,Budget Bins,682,682,Section 8-1,Waste Disposal,95,c4a83afd-1d95-4e30-b4d3-5c3a3bd788d7,Yes,
203,FY2022-23,2023-05-15,FEN Australia Pty Ltd,680.9,680.9,Section 8-1 ITAA 1997 - general deduction,Storage,95,caf1d9d5-66e2-4f6e-9631-20c713075187,Yes,Maintain receipts and invoices as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable
204,FY2024-25,2025-06-09,Allcoast Towing,674.52,674.52,Section 8-1,Transportation,90,6c9f54a9-85b8-4f50-a07e-83c0056a866d,Yes,Ensure invoice is retained as evidence of the expense.; Confirm the expense is wholly and exclusively for business purposes.
205,FY2025-26,2025-12-22,Goodyear AutoCare Sumner Park,659.55,659.55,Section 8-1,Automotive,90,eb963906-5bf1-40f7-b7be-a829db850d2c,Yes,
206,FY2024-25,2024-07-12,Grow Funding,653.07,653.07,Section 8-1,Finance,90,6163a083-8571-4cfb-b648-03ad8c92aae2,Yes,Ensure loan agreement is available to verify terms and conditions.; Confirm the purpose of the loan and that it was used for business purposes.
207,FY2023-24,2023-12-12,Grow Funding,653.07,653.07,Section 8-1,Finance,90,9e313a17-79a1-4005-a728-08c269871656,Yes,Ensure loan agreement is available to verify terms and conditions.; Confirm the purpose of the loan to ensure deductibility.
208,FY2024-25,2025-06-15,Time Out Computers Australia PTY LTD,648.86,648.86,Section 8-1,Professional Services,80,3d7bd1bc-8144-42d1-8eb0-456c4a6cc823,Yes,Requires detailed invoice to confirm the nature of 'July Services' for substantiation purposes.
209,FY2025-26,2025-12-15,Time Out Computers Australia PTY LTD,642.46,642.46,Section 8-1,Software,90,b2ab9f7d-3c81-4ed0-8335-f7c63f977766,Yes,"Ensure invoice and payment records are retained.; Review the nature of the 'emails' to determine if any entertainment is included, which may have dedu"
210,FY2025-26,2025-10-15,Time Out Computers Australia PTY LTD,641.36,641.36,Section 8-1,Professional Services,85,5e86ae9c-866d-4a4b-b2b1-35089289e31d,Yes,Obtain detailed invoice to understand the nature of 'November Services' and ensure it is wholly for business purposes.
211,FY2024-25,2025-02-19,AirBNB,639.56,639.56,Section 8-1,Travel,70,922ad63e-e8a6-440f-90b2-191c3f7af715,Yes,"Need to determine the purpose of the travel to assess deductibility under Section 8-1. If for business, it is deductible. If for private purposes, it "
212,FY2023-24,2023-11-15,Kennards Hire,637,637,Section 8-1,Equipment Hire,90,6ed67f80-0d88-4318-b795-469f37da574d,Yes,
213,FY2023-24,2023-07-21,National Storage,634,634,Section 8-1,Storage,90,894d57cd-7d77-4fee-a26c-bcef9b81fcb4,Yes,
214,FY2024-25,2025-06-16,AJ Grant Restorations Pty Ltd,632.5,632.5,Section 8-1,Professional Services,95,6d5278d1-1902-40f0-a5e0-b4b6a5a66125,Yes,"Ensure proper documentation (receipts, reports) is maintained to support the deduction."
215,FY2024-25,2025-01-09,Wages,632,632,Section 8-1,Wages,90,9d26c4ad-29f1-4f43-b261-1d3d78118859,Yes,"Maintain adequate records (timesheets, employment contracts) to support the wage expense.; Ensure wages are reasonable and at market rates."
216,FY2022-23,2023-05-12,National Storage,619,619,Section 8-1,Storage,90,730fd50c-4c35-4728-8cd2-2f59ee4554f6,Yes,Ensure invoice/receipt is retained as evidence of the expense.; Confirm the storage is used wholly and exclusively for business purposes.
217,FY2025-26,2025-09-30,Carpet Cleaners Warehouse,618.72,618.72,Section 8-1,Repairs and Maintenance,85,47f77c47-5574-40f1-b603-0b765d7942cc,Yes,Ensure invoice and proof of payment are retained.; Confirm the expense relates to business use and not private use.
218,FY2022-23,2023-02-20,Storage King Redbank Plains,610,610,Section 8-1,Rent,85,a30da380-c7d6-46c8-aa54-f1ef1ca378ce,Yes,"Ensure the storage is used wholly and exclusively for business purposes. If there is any private use, the deductible amount will need to be apportione"
219,FY2023-24,2023-09-21,Claim Central Pty Ltd ABN 61102685343,606.42,606.42,Section 8-1,Repairs and Maintenance,90,23805f28-53d4-4cce-aced-ba944a1fb8b4,Yes,Ensure proper documentation (receipts) is maintained to support the deduction.; Review 'Makesafe' component to ensure it is not capital in nature.
220,FY2024-25,2025-01-02,Claim Central Pty Ltd ABN 61102685343,603.9,603.9,Section 8-1,Repairs and Maintenance,90,43c2e5de-8cf4-4bb3-99e5-74333a71a66d,Yes,
221,FY2024-25,2024-07-08,Holiday Inn Express,603.25,603.25,Section 8-1,Travel,85,db68cdbe-a85b-4d03-9ddf-0f4137e8e8a3,Yes,Ensure travel is genuinely for business purposes.; Receipt from Holiday Inn Express is required.
222,FY2023-24,2023-11-21,Kennards Hire,603.16,603.16,Section 8-1,Construction,90,7eca3ecb-6682-4516-9d2f-f1ebcf460f2a,Yes,Ensure invoice and proof of payment are retained.; Confirm the expense relates to income-producing activities.
223,FY2022-23,2023-05-23,National Storage,603,603,Section 8-1,Storage,95,9cd7b098-dc81-4400-a08c-a0690bf58f09,Yes,Ensure invoice is retained as evidence of expense.; Confirm the storage is used wholly and exclusively for business purposes.
224,FY2024-25,2024-08-23,Pivotal Entertainment,600,600,Section 8-1,Travel,70,2ded0c81-48dd-465e-bad6-f102f438091a,Yes,Requires receipts to verify the nature of the travel expense.; Determine the purpose of the trip to Mackay to assess deductibility. If it's for busine
225,FY2023-24,2024-05-19,Fast Labour Hire Brisbane Pty Ltd,596.9,596.9,Section 8-1,Labour Hire,95,af1604a7-941b-4c5c-8586-cf7f185c0d6b,Yes,
226,FY2024-25,2024-07-24,BNP Media,588.78,588.78,Section 8-1,Professional Services,80,53d9e5fd-881f-4399-b6b5-dba7546a9c01,Yes,Need to verify the nature of services provided by BNP Media - Phill to confirm deductibility.; Obtain invoice or contract to support the expense.
227,FY2024-25,2024-07-14,Upwork,587.24,587.24,Section 8-1,Professional Services,80,ed95f3ae-a8fb-4c92-9fec-73b900fa90d6,Yes,Requires detailed invoice or description from Upwork to determine the nature of services provided by 'Phill'.; Ensure the expense is wholly and exclus
228,FY2024-25,2025-01-24,Semrush,576.16,576.16,Section 8-1,Marketing,95,3cbd16f9-ba7a-4159-947f-df6cf23eddd2,Yes,Requires receipt for substantiation.
229,FY2024-25,2024-07-03,National Storage,574.02,574.02,Section 8-1,Storage,95,64cda29d-f3d8-472c-bfd2-58294091245f,Yes,
230,FY2024-25,2024-07-30,National Storage,574.02,574.02,Section 8-1,Storage,95,44f7326a-d3f7-4879-8fc2-486b9adeefcf,Yes,
231,FY2022-23,2023-05-17,Taxibox,572,572,Section 8-1,Storage,95,5a3fc6f5-21b3-40c9-914d-d2a7fb17754a,Yes,
232,FY2022-23,2023-05-17,Taxibox,572,572,Section 8-1,Storage,90,252d4748-6641-4aba-868e-989be22f30d2,Yes,
233,FY2024-25,2025-05-24,Semrush,562.49,562.49,Section 8-1,Marketing,95,f79caf1a-b002-4930-b003-7aec09713008,Yes,Ensure invoice and proof of payment are retained.; Confirm expense is wholly and exclusively for business purposes.
234,FY2023-24,2023-07-24,National Storage,561,561,Section 8-1,Storage,90,282db820-73d2-48d8-a3ec-6f756de2fcc4,Yes,
235,FY2023-24,2023-07-11,AGL Electricity,555.13,555.13,Section 8-1,Utilities,90,41520c73-7d6c-489f-990f-ceabfa89d54a,Yes,Ensure invoice is retained as evidence of expense.; Confirm warehouse is used for business purposes.
236,FY2025-26,2025-07-24,Semrush,554.36,554.36,Section 8-1,Marketing,95,c23c9682-4a5b-4cc9-a694-24b0d3918852,Yes,Ensure invoice is retained as evidence of expense.; Confirm the expense is wholly and exclusively for business purposes.
237,FY2023-24,2023-10-18,AJ Grant Buildings,550,550,Section 8-1,Professional Services,95,1c43ed6c-23d8-4d3d-98e5-f768f660fdeb,Yes,Ensure invoice and lab results are retained as documentation.; Confirm the expense relates to income-producing activities.
