Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2024-25,2024-08-19,76b836f1-514b-4a63-839e-7c6290f424be,Goggle One,2.49,,Software,70,Section 8-1 ITAA 1997 - general deduction,2.49,Yes,No,50,The transaction description 'from Goggle One' does not provide any evidence of R&D activities as defined in Division 355 of ITAA 1997. There is no ind,No,No,Yes,
FY2023-24,2023-07-06,bd0bbbfc-cd9f-41ec-bee5-45e7ea36053f,Synthesia,46.43,,Software,80,Section 8-1 ITAA 1997 - general deduction,46.43,Yes,No,60,The transaction description 'from Synthesia' does not provide sufficient evidence to suggest that the expense relates to R&D activities as defined und,No,No,Yes,
FY2023-24,2023-07-17,da5ff307-14f0-4209-a28c-3e8515b182b0,Go Daddy,353.39,,Software,85,Section 8-1 ITAA 1997 - general deduction,353.39,Yes,No,95,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is no in,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for t
FY2023-24,2023-07-24,04b9b6db-2604-42f3-92ed-fe72d261b07d,ChatGPT,33.71,Order number: sub_1MoRsWC6h1nxGoI3nysj9D1d ,Software,70,Section 8-1 ITAA 1997 - general deduction,33.71,Yes,No,50,The transaction description 'from ChatGPT - Order number: sub_1MoRsWC6h1nxGoI3nysj9D1d' does not provide sufficient evidence to suggest that the purch,No,No,Yes,
FY2023-24,2023-08-10,2479fbae-b8f8-4e3f-8d80-dc5ff531fdd9,Mailchimp,31.72,,Marketing,95,Section 8-1 ITAA 1997 - general deduction,31.72,Yes,No,95,The transaction description 'from Mailchimp' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. It appears t,No,No,Yes,Requires receipt from Mailchimp to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-08-31,b638fbb0-1461-4135-bfb2-2ba322199101,,2000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Unknown,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that it is related to R&D activities. Ther,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-09-01,7030ada7-71a5-4a31-8ecf-9f7e8410c1bd,Westpac,10,,Financial Services,90,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,The transaction description 'from Westpac' does not contain any information suggesting R&D activities. There is no indication of technical uncertainty,No,No,Yes,
FY2023-24,2023-09-06,c94633e3-986d-4c63-bcc1-55f51f51c089,Synthesia,48.61,,Software,75,Section 8-1 ITAA 1997 - general deduction,48.61,Yes,No,60,The transaction description 'from Synthesia' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activi,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-08-07,3fa57df2-5e1b-4b29-a24b-fc3c671b7e17,Synthesia,47.24,,Software,80,Section 8-1 ITAA 1997 - general deduction,47.24,Yes,No,60,The transaction description 'from Synthesia' does not provide sufficient evidence to suggest that the expense relates to R&D activities as defined in ,No,No,Yes,
FY2023-24,2023-08-31,cd41b6fe-4755-4c5b-880c-de65d6f1e88f,,2000,Bank Transfer to Westpac AU 034130305246.,Unknown,50,Unknown,0,No,No,5,The transaction description 'Bank Transfer to Westpac AU 034130305246' does not contain any information to suggest that it is related to R&D activitie,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-09-18,ea65c9ee-76d3-4d03-9c5a-a585071f06e4,Google,0.62,,Software,70,Section 8-1 ITAA 1997 - general deduction,0.62,Yes,No,50,"The transaction description 'from Google' lacks specific details indicating R&D activity. There is no evidence of technical uncertainty, systematic in",No,No,Yes,
FY2023-24,2023-10-19,1e8d0892-83f6-4fa1-acac-741566e4b7b2,Westpac,22.88,,Financial Services,95,s 8-1 ITAA 1997 - general deduction,22.88,Yes,No,100,"The transaction description 'from Westpac' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowled",No,No,Yes,
FY2023-24,2023-09-25,c81482a4-f73a-496f-9c01-660e48143738,Fiverr,35.02,,Professional Services,70,Section 8-1 ITAA 1997 - general deduction,35.02,Yes,No,60,"The transaction description 'from Fiverr' lacks specific details indicating R&D activities. There is no evidence of technical uncertainty, systematic ",No,No,Yes,
FY2023-24,2023-10-10,4ead16e4-8fa4-4387-8ced-d54a31c4ce2c,Canva,164.99,,Software,85,Section 8-1 ITAA 1997 - general deduction,164.99,Yes,No,95,The transaction description 'from Canva' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is no indic,No,No,Yes,Deductible under s 8-1 ITAA 1997 if used in carrying on a business for the purpose of gaining or producing assessable income. Requires receipt as proof of purchase.
FY2023-24,2023-10-16,4050c9ee-a80e-4305-9df9-8c5a6805778f,Jasper A1 Rollingwood,80.3,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,80.3,Yes,No,50,The transaction description 'from Jasper A1 Rollingwood' does not contain any information to suggest that it is related to R&D activities as defined i,No,No,Yes,
FY2023-24,2023-09-25,b7c70d64-8f5f-4d6c-8cbd-0b5f9909c040,Fiverr,38.46,,Professional Services,70,Section 8-1 ITAA 1997 - general deduction,38.46,Yes,No,50,The transaction description 'from Fiverr' lacks any indication of R&D activities as defined in Division 355 of ITAA 1997. There is no evidence of tech,No,No,Yes,
FY2023-24,2023-10-06,8489bd68-9b3d-44f2-bd7f-f552eeeaa2f1,Synthesia,48.92,,Software,80,Section 8-1 ITAA 1997 - general deduction,48.92,Yes,No,60,"The transaction description 'from Synthesia' does not provide any evidence of R&D activities. Synthesia is a platform for creating AI videos, and the ",No,No,Yes,
FY2023-24,2023-10-19,7d08007f-acec-458f-82ac-a706a0f6ee1e,Xero,90,,Software,95,Section 8-1 ITAA 1997 - general deduction,90,Yes,No,90,The transaction description 'from Xero' and the line item description '' do not provide any evidence of R&D activities as defined in Division 355 of t,No,No,Yes,
FY2023-24,2023-10-23,4ed5a2d9-8fa6-414f-94ea-af6bac52fadd,Disaster Recovery,10000,,IT Services,80,Section 8-1 ITAA 1997 - general deduction,10000,Yes,No,90,"The transaction description 'from Disaster Recovery' does not provide any evidence of technical uncertainty, systematic investigation, generation of n",No,No,Yes,Ensure invoice and payment records are retained as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred i
FY2023-24,2023-09-20,84cb42a3-cbae-41aa-bb28-fb3712a24058,Local Falcon,481.47,,Marketing,70,Section 8-1 ITAA 1997 - general deduction,481.47,Yes,No,60,The transaction description 'from Local Falcon' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is n,No,No,Yes,Requires receipt from Local Falcon to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying o
FY2023-24,2023-09-25,65584235-eb1e-4b24-b62a-aad17902aedb,PADDLE.NET,33.71,,Software,70,Section 8-1 ITAA 1997 - general deduction,33.71,Yes,No,60,The transaction description 'from PADDLE.NET' does not provide any evidence of R&D activities. It is likely a software subscription or purchase. Witho,No,No,Yes,
FY2023-24,2023-08-29,41f9410a-cec0-4d0a-8c85-27ce20b2f062,Ispwich Chamber of Commerce,342,,Professional Services,85,Section 8-1 ITAA 1997 - general deduction,342,Yes,No,95,The transaction relates to a payment to the Ipswich Chamber of Commerce. There is no indication of R&D activity based on the provided information. The,No,No,Yes,Requires receipt from Ispwich Chamber of Commerce to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-09-29,ce2f9306-04b9-4595-a998-8cf235b2a48e,,1200,Bank Transfer to Westpac Business One.,Financial Services,90,s 8-1 ITAA 1997 - general deduction,1200,Yes,No,5,The transaction description 'Bank Transfer to Westpac Business One' does not contain any information to suggest that it is related to R&D activities. ,No,No,Yes,Requires bank statements to verify the nature of the transaction. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying
FY2023-24,2023-08-31,75977746-0b01-4155-a740-cf3f9c22ec8d,,2000,Bank Transfer to CARSI.,Unknown,50,Section 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer to CARSI' provides no information to suggest that the payment relates to R&D activities as defined in Divis,No,No,Yes,Need to determine the nature of the payment to CARSI to assess deductibility under s 8-1 ITAA 1997. Obtain invoice or contract details.
FY2023-24,2023-10-02,2b0b58c1-af9a-4554-bb68-7ab24c413196,,2000,Bank Transfer to Westpac AU 034130305246.,Unknown,50,Unknown,0,No,No,5,The transaction description 'Bank Transfer to Westpac AU 034130305246' provides no information to suggest that this payment relates to any R&D activit,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-10-23,34714fd7-71eb-4372-be5d-8ba3f5a920ef,,3000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Unknown,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that this payment relates to any R&D activ,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2024-02-03,9feaa910-4bef-401d-bf87-e4d215f7528f,Jim's Bookkeeping Maryborough,65,Account keeping and BAS,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,65,Yes,No,95,"The transaction relates to 'Account keeping and BAS', which are routine business activities and do not involve experimental activities to generate new",No,No,Yes,Receipt required to substantiate the expense.
FY2023-24,2023-09-29,c153f253-8b9f-464e-b287-4985bdc69b44,,1200,Bank Transfer to Westpac AU 034130305246.,Financial Services,70,Section 8-1 ITAA 1997 - general deduction,1200,Yes,No,50,The transaction description 'Bank Transfer to Westpac AU 034130305246' does not provide any information to suggest that it is related to R&D activitie,No,No,Yes,Requires documentation to determine the nature of the payment to Westpac and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer to Westpac AU 034130305246' is insufficient to dete
FY2023-24,2023-10-20,87c38300-dab4-4d1b-9596-c5b4b614b22f,Zoom,24.63,,Software,95,Section 8-1 ITAA 1997 - general deduction,24.63,Yes,No,90,The transaction description 'from Zoom' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no indic,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2024-05-17,0dee757c-da61-4188-923d-de6c37d4c22c,Lori Mills,355,Introduction to Mould Identification and Remediation,Professional Development,95,Section 8-1 ITAA 1997 - general deduction,355,Yes,No,90,The transaction relates to training courses on mould identification and remediation and safety procedures. There is no indication of experimental acti,No,No,Yes,Training/self-education: Must relate to current income-earning activity
FY2024-25,2024-07-15,4c75809c-5ee6-4e51-b62d-15be0e622af7,Jasper A1 Rollingwood,74.75,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,74.75,Yes,No,5,The transaction description 'from Jasper A1 Rollingwood' does not contain any information to suggest that it is related to R&D activities. There is no,No,No,Yes,Need to determine the nature of the expense to confirm deductibility under s 8-1 ITAA 1997. The description 'from Jasper A1 Rollingwood' is insufficient to determine deductibility.
FY2024-25,2024-07-01,7487ce23-0127-44ec-bcc2-8293fe84ac5c,Westpac,10,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,90,"The transaction description 'from Westpac' does not contain any information suggesting R&D activities. Therefore, it does not meet the criteria for Di",No,No,Yes,
FY2024-25,2024-09-18,c129d8e9-42ce-45c0-a1cc-8347f1e60228,PLANNERVID,41.31,,Software,60,Section 8-1 ITAA 1997 - general deduction,41.31,Yes,No,50,The transaction description 'from PLANNERVID' does not provide sufficient evidence to suggest that this expense relates to core or supporting R&D acti,No,No,Yes,
FY2024-25,2024-07-01,a82ca28c-01ba-4050-8f77-d6709ee432d6,,3000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Section 8-1,0,No,No,20,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that it relates to R&D activities. There i,No,No,Yes,Requires additional documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2024-25,2024-08-01,1073ec33-9a25-4b9a-b31f-26cd6fda2cc1,Westpac,10,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,"The transaction description 'from Westpac' does not contain any information suggesting R&D activities. Therefore, it does not meet the criteria for Di",No,No,Yes,
FY2024-25,2024-08-05,ed2724a7-8715-4d66-8c60-e80c5d7edf6a,,1500,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Section 8-1 ITAA 1997 - general deduction,0,No,No,50,The transaction description 'Bank Transfer from Westpac AU 034130305254' does not contain any information to suggest that it is related to R&D activit,No,No,Yes,"Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997. Without knowing the supplier or purpose of the bank transfer, it is impossible to assess dedu"
FY2024-25,2024-08-19,d252d75f-30f9-46fe-8463-96466feb9818,PLANNERVID,42.09,,Software,70,Section 8-1 ITAA 1997 - general deduction,42.09,Yes,No,50,The transaction description 'from PLANNERVID' does not provide sufficient evidence to suggest that the expense relates to R&D activities as defined un,No,No,Yes,
FY2024-25,2024-08-20,81dbf23a-d1c5-40d3-a90c-0c13ebf5aa7c,Zoom,24.63,,Software,95,Section 8-1 ITAA 1997 - general deduction,24.63,Yes,No,90,The transaction description 'from Zoom' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no indic,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2024-25,2024-08-22,8f2cb819-df25-48d9-ba77-34a8b071f22a,Semrush,268.5,,Marketing,90,Section 8-1 ITAA 1997 - general deduction,268.5,Yes,No,95,"Semrush is a marketing and SEO tool. The transaction description does not contain any evidence of technical uncertainty, systematic investigation, gen",No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for t
FY2024-25,2024-08-22,42a7d3cf-8266-4bb2-9e82-833a5ec2cb8c,Go Daddy,147.15,,Software,85,Section 8-1 ITAA 1997 - general deduction,147.15,Yes,No,95,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined under Division 355 of the ITAA 1997. There is n,No,No,Yes,
FY2024-25,2024-08-28,f8cdb747-d6de-4560-a3c5-17c77b46cf18,LEARNINGSTUDIOAI.COM,59.42,,Software,70,Section 8-1 ITAA 1997 - general deduction,59.42,Yes,No,50,The transaction description 'from LEARNINGSTUDIOAI.COM' does not provide sufficient evidence to suggest that the expense relates to core or supporting,No,No,Yes,
FY2024-25,2024-08-05,2319f97f-6561-4a37-aafe-b537bed98b5f,,1500,Bank Transfer to Westpac AU 034130305246.,Financial Services,70,Section 8-1 ITAA 1997 - general deduction,1500,Yes,No,50,The transaction description 'Bank Transfer to Westpac AU 034130305246' does not contain any information to suggest that it is related to R&D activitie,No,No,Yes,Requires documentation to determine the nature of the bank transfer and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer to Westpac AU 034130305246' is insufficient to determine
FY2024-25,2024-08-27,6f27857e-493c-4995-9b31-7b7dc17ccecb,,2000,Bank Transfer to Westpac AU 034130305246.,Unknown,50,s 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer to Westpac AU 034130305246' provides no information to suggest that it is related to R&D activities. There ,No,No,Yes,"Requires documentation to determine the nature of the expense and its deductibility. Without knowing the purpose of the bank transfer, it is impossible to assess its tax implications."
FY2024-25,2024-07-18,b37dae13-5fec-462b-9603-512b4d650192,PLANNERVID,41.38,,Professional Services,60,Section 8-1 ITAA 1997 - general deduction,41.38,Yes,No,5,The transaction description 'from PLANNERVID' does not contain any information to suggest that it is related to R&D activities. There is no mention of,No,No,Yes,
FY2024-25,2024-08-16,e5320529-3998-47d3-88d0-f6192e8f41d7,X Corp,263.42,,General Expenses,70,Section 8-1 ITAA 1997 - general deduction,263.42,Yes,No,50,The transaction description 'from X Corp' does not provide any information to suggest that the expense relates to R&D activities as defined in Divisio,No,No,Yes,
FY2024-25,2024-09-30,f2dd18cb-a09f-4dab-a9cf-874cfae81280,Westpac,0.01,,Bank Fees,95,Section 8-1 ITAA 1997 - general deduction,0.01,Yes,No,90,The transaction description 'from Westpac' does not contain any information suggesting R&D activities. There is no indication of technical uncertainty,No,No,Yes,
FY2024-25,2024-09-19,c4848e36-1f8e-486e-8dec-22b3b5dd704e,Xero,95,,Software,95,Section 8-1 ITAA 1997 - general deduction,95,Yes,No,95,"The transaction description 'from Xero' does not provide any evidence of R&D activities. It appears to be a standard software subscription. Therefore,",No,No,Yes,
FY2024-25,2024-10-01,0c5ec28a-dbee-4a35-b514-e09603b8736f,Westpac,10,,Financial Services,90,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,100,The transaction description 'from Westpac' does not contain any information suggesting R&D activities. There is no indication of technical uncertainty,No,No,Yes,
FY2024-25,2024-09-10,a2684f88-bc57-44ca-8aa4-f7351907db69,HARBORSEO.AI DEERPARK IND IRL,330.64,International purchase,Professional Services,70,Section 8-1 ITAA 1997 - general deduction,330.64,Yes,No,60,The transaction description 'from HARBORSEO.AI DEERPARK IND IRL - International purchase' and 'International purchase' lacks specific details indicati,No,No,Yes,Requires invoice to substantiate the expense and its business purpose. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in car
FY2024-25,2024-09-13,4fbaf380-2163-4938-9b19-60c9b974fcf5,Phil Wolffe - Armour IT Australia,279.98,Invoice 0023,Professional Services,85,Section 8-1 ITAA 1997 - general deduction,279.98,Yes,No,95,"The transaction description 'Invoice 0023' and 'Stripe Fee' do not contain any evidence of technical uncertainty, systematic investigation, generation",No,No,Yes,
FY2024-25,2024-09-13,0efd3ada-e06b-4c0e-956d-1e703e1b23fc,Phil Woffle,4.98,INV-0023,Uncategorized,50,Section 8-1 ITAA 1997 - general deduction,4.98,Yes,No,5,The transaction description 'INV-0023' from 'Phil Woffle' does not contain any information to suggest that it is related to R&D activities. There is n,No,No,Yes,
FY2024-25,2024-09-13,d7849de8-2e54-4d87-a0a7-49285ce7d39a,Phil Woffle,4.98,INV-0023,Uncategorized,50,Section 8-1 ITAA 1997 - general deduction,4.98,Yes,No,5,The transaction description 'INV-0023' from 'Phil Woffle' does not contain any information to suggest that it is related to R&D activities. There is n,No,No,Yes,
FY2024-25,2024-07-01,71f7c196-2ef3-4ba6-9a08-b9b2bd00a5a1,Bubble,49.81,,Software,80,Section 8-1 ITAA 1997 - general deduction,49.81,Yes,No,60,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activitie,No,No,Yes,
FY2024-25,2024-09-06,c0913941-e0b3-4bf3-88a4-cf92940a6821,Synthesia,46.05,,Software,90,Section 8-1 ITAA 1997 - general deduction,46.05,Yes,No,60,The transaction description 'from Synthesia' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is no i,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for t
FY2024-25,2024-07-18,1d386927-666e-4711-a656-dda6da0554d8,Goggle One,2.49,,Software,70,Section 8-1 ITAA 1997 - general deduction,2.49,Yes,No,50,"The transaction description 'from Goggle One' does not provide sufficient evidence of R&D activities. There is no indication of technical uncertainty,",No,No,Yes,
FY2024-25,2024-09-13,9d006167-fbc6-4705-b0e9-10a44be361fb,Phil Wolffe - Armour IT Australia,275,CARSI MEMBERSHIP - FOUNDATION - ISSUING TO ARMOUR IT AUSTRALIA,Professional Services,85,Section 8-1 ITAA 1997 - general deduction,275,Yes,No,60,"The transaction relates to a 'CARSI MEMBERSHIP - FOUNDATION'. There is no indication of technical uncertainty, systematic investigation, generation of",No,No,Yes,Ensure the membership is directly related to the business's income-producing activities to satisfy s 8-1 ITAA 1997.
FY2023-24,2023-07-31,eb00e731-5a0b-44dc-a369-020b09a1dc06,Westpac,24.84,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,24.84,Yes,No,95,The transaction description 'from Westpac' does not contain any information suggesting R&D activities. It appears to be a standard banking transaction,No,No,Yes,
FY2023-24,2023-08-31,01bc0111-e571-42fc-a8d3-f8a22261dcba,Westpac,20.63,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,20.63,Yes,No,100,"The transaction description 'from Westpac' does not contain any information suggesting R&D activities. Therefore, it does not meet the criteria for Di",No,No,Yes,Requires receipt from Westpac to verify the nature of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-07-18,672f73dc-93b2-49b9-818b-b229aafdddcb,PLANNERVID,40.98,,Software,60,Section 8-1 ITAA 1997 - general deduction,40.98,Yes,No,5,The transaction description 'from PLANNERVID' does not provide any evidence of R&D activities as defined in Division 355 of ITAA 1997. There is no ind,No,No,Yes,
FY2023-24,2023-07-20,5f4c65c2-104d-4fc2-b986-1b0b4f62e6e3,,5000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Section 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that it relates to any R&D activities. The,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2024-25,2024-08-12,1b29aa59-b2fa-4f8c-9776-f89f3874100d,Mailchimp,30.9,,Marketing,90,Section 8-1 ITAA 1997 - general deduction,30.9,Yes,No,95,The transaction description 'from Mailchimp' does not provide any evidence of R&D activities as defined under Division 355 of the ITAA 1997. Mailchimp,No,No,Yes,
FY2024-25,2024-08-27,6b3f2b56-8a0c-4d47-b6bc-d982c9ada2e9,,2000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Section 8-1,0,No,No,20,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that it relates to any R&D activities. The,No,No,Yes,Requires additional documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-07-24,58243805-0663-4767-95f1-32027a03bed5,Primeau,9.99,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,9.99,Yes,No,5,The transaction description 'from Primeau' does not provide any information to suggest that it is related to R&D activities as defined in Division 355,No,No,Yes,Need receipt to confirm nature of expense to determine deductibility under s 8-1 ITAA 1997. The description 'from Primeau' is insufficient.
FY2023-24,2023-08-03,c150a491-917a-4c8e-8025-2f62aeae5a59,ATO,566,,Taxation,95,Section 8-1 ITAA 1997 - general deduction,566,Yes,No,90,"The transaction description 'from ATO' does not provide any evidence of R&D activities. There is no indication of technical uncertainty, systematic in",No,No,Yes,
FY2023-24,2023-08-21,47ed96de-1ce0-448f-be63-082dfb99c13f,Canva,57,,Software,75,Section 8-1,57,Yes,No,90,The transaction 'from Canva' does not provide any evidence of R&D activities as defined in Division 355 of ITAA 1997. There is no indication of techni,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 - general deduction. The expense 'from Canva' is deductible to the extent it was incurred in gaining or producing assessable income or nec
FY2023-24,2023-08-21,e3d5ce27-7f0d-4c55-9d62-48d0b4aef23c,Go Daddy,35.67,,Software,85,Section 8-1 ITAA 1997 - general deduction,35.67,Yes,No,95,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined under Division 355 of the ITAA 1997. There is n,No,No,Yes,
FY2023-24,2023-08-21,8bd72751-0051-4212-9b07-45f379700a8a,Zoom,24.63,,Software,95,Section 8-1 ITAA 1997 - general deduction,24.63,Yes,No,90,The transaction relates to a Zoom subscription. There is no indication of R&D activity based on the provided information. Routine software subscriptio,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for t
FY2023-24,2023-09-18,06acfc0d-ad9c-4789-8c12-91fd2203d361,Biteable,828,,Marketing,85,Section 8-1 ITAA 1997 - general deduction,828,Yes,No,60,The transaction description 'from Biteable' does not provide any evidence of R&D activities as defined in Division 355 of ITAA 1997. There is no indic,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-09-18,e0df2d58-47b1-49a6-bbe3-e96bb89c4c7e,PLANNERVID,43.27,,Software,60,Section 8-1 ITAA 1997 - general deduction,43.27,Yes,No,5,The transaction description 'from PLANNERVID' does not provide any evidence of R&D activities as defined in Division 355 of ITAA 1997. There is no ind,No,No,Yes,
FY2024-25,2024-07-16,fe4e555e-87e9-466d-8a97-e25900f0116c,Go Daddy,365.99,,Software,95,Section 8-1 ITAA 1997 - general deduction,365.99,Yes,No,90,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is no in,No,No,Yes,Receipt from Go Daddy required to substantiate the expense. s 8-1 ITAA 1997 - general deduction: An expense is deductible if it is incurred in gaining or producing assessable income or is necessarily 
FY2024-25,2024-07-23,73908ab0-9b20-4e07-9b3c-56be54002ebf,ChatGPT,33.9,,Software,70,Section 8-1,33.9,Yes,No,60,The transaction description 'from ChatGPT' does not provide sufficient evidence to suggest that the payment relates to R&D activities as defined in Di,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 - general deduction: The expense must be incurred in gaining or producing assessable income or necessarily incurred in carrying on a busin
FY2024-25,2024-07-24,190fe9e8-f86f-42a6-b27f-e6f9a849edbf,,1000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Section 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that this payment relates to any R&D activ,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2024-25,2024-08-06,e49f7ca7-8073-43a4-8127-38f291a52525,Pateron,8.89,,Marketing,75,Section 8-1 ITAA 1997 - general deduction,8.89,Yes,No,5,The transaction description 'from Pateron' does not provide any evidence of R&D activities as defined under Division 355 of the ITAA 1997. There is no,No,No,Yes,Ensure the subscription relates to the business's income-producing activities to satisfy s 8-1 ITAA 1997.
FY2024-25,2024-08-29,c92f63af-a1b8-4f9e-84b4-ba11282795a1,Go Daddy,365.54,,Software,85,Section 8-1 ITAA 1997 - general deduction,365.54,Yes,No,95,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined under Division 355 of the ITAA 1997. There is n,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2024-25,2024-08-30,a960eb8f-32a7-49ef-8107-df751b75863f,Go Daddy,130.18,,Software,85,Section 8-1 ITAA 1997 - general deduction,130.18,Yes,No,95,The transaction description 'from Go Daddy' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no i,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for t
FY2024-25,2024-07-24,e5d41778-33fe-4321-9395-ee66ec92970b,,1000,Bank Transfer to Westpac AU 034130305246.,Unclassified,50,s 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer to Westpac AU 034130305246' does not contain any information to suggest that it is related to R&D activitie,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
